,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,1,Joel Embiid,PHI,35,34.8,33.4,11.1,20.9,53.2,1.1,3.2,34.5,10.1,11.7,86.1,1.7,8.0,9.8,4.1,1.1,1.7,3.6,35.0
1,2,Luka Doncic,DAL,45,36.8,33.0,11.1,22.4,49.7,2.7,7.8,35.1,8.0,11.0,72.8,0.9,8.0,8.9,8.4,1.5,0.5,3.6,34.4
2,3,Giannis Antetokounmpo,MIL,38,33.5,31.3,10.9,20.7,52.7,0.8,3.0,25.7,8.7,13.4,64.5,2.3,9.7,12.0,5.3,0.8,0.9,4.1,31.6
3,4,Jayson Tatum,BOS,47,37.3,31.1,10.1,21.7,46.8,3.3,9.3,35.2,7.6,8.7,86.8,1.1,7.6,8.7,4.4,1.0,0.7,2.8,30.5
4,5,Shai Gilgeous-Alexander,OKC,45,35.6,30.9,10.4,20.2,51.3,1.0,2.7,36.6,9.2,10.2,90.6,0.8,3.9,4.8,5.6,1.7,1.1,2.9,30.4
5,6,Damian Lillard,POR,36,35.8,30.1,9.2,19.9,46.2,4.1,11.1,37.3,7.6,8.4,90.1,0.6,3.4,4.0,7.4,0.9,0.3,3.2,28.1
6,7,LeBron James,LAL,39,36.1,29.9,11.5,22.8,50.7,2.1,6.9,30.4,4.8,6.2,76.9,1.2,7.3,8.5,7.0,1.0,0.6,3.1,31.3
7,8,Kevin Durant,BKN,39,36.0,29.7,10.5,18.8,55.9,1.8,4.8,37.6,6.8,7.3,93.4,0.4,6.4,6.7,5.3,0.8,1.5,3.5,31.7
8,9,Donovan Mitchell,CLE,41,36.2,28.3,9.7,20.2,48.1,3.8,9.5,39.6,5.0,5.8,86.9,1.0,3.0,4.0,4.8,1.5,0.4,2.9,24.8
9,10,Ja Morant,MEM,41,32.4,27.3,9.7,20.9,46.5,1.7,5.2,32.2,6.2,8.3,74.6,1.1,4.5,5.6,8.1,1.0,0.3,3.6,25.4
10,11,Kyrie Irving,BKN,37,36.9,27.2,10.0,20.5,48.8,3.3,8.7,37.6,3.9,4.4,90.1,0.9,4.1,5.1,5.2,1.0,0.8,2.2,26.1
11,12,Trae Young,ATL,44,35.7,27.1,8.5,20.1,42.6,2.2,6.8,31.8,7.8,8.8,88.9,0.6,2.2,2.9,9.9,0.9,0.1,4.1,24.3
12,13,Jaylen Brown,BOS,44,35.9,26.8,10.0,20.5,48.9,2.5,7.5,33.1,4.2,5.4,78.5,1.3,5.9,7.1,3.2,1.1,0.5,3.1,24.0
13,14,DeMar DeRozan,CHI,45,36.2,26.3,9.4,18.5,50.8,0.4,1.4,27.0,7.0,7.9,89.0,0.5,4.5,5.0,4.9,1.0,0.5,2.0,25.7
14,15,Pascal Siakam,TOR,40,37.6,25.1,8.9,18.8,47.1,1.3,4.2,31.4,6.1,7.9,76.6,2.0,6.3,8.2,6.5,0.8,0.6,2.6,26.8
15,16,Nikola Jokic,DEN,42,33.4,25.1,9.5,15.2,62.9,0.9,2.3,37.8,5.1,6.3,81.8,2.1,8.9,11.0,9.9,1.4,0.6,3.4,37.7
16,17,Julius Randle,NYK,50,35.7,24.8,8.4,18.1,46.1,2.7,7.9,34.6,5.4,7.2,74.8,2.3,8.5,10.9,4.0,0.7,0.3,2.7,26.4
17,18,Lauri Markkanen,UTA,46,34.2,24.8,8.3,16.0,51.9,3.1,7.2,43.0,5.0,5.8,87.2,1.8,6.9,8.7,1.8,0.6,0.6,1.8,26.2
18,19,Anthony Edwards,MIN,51,36.5,24.5,8.7,19.0,45.9,2.7,7.4,37.1,4.3,5.6,77.5,0.6,5.4,6.0,4.5,1.7,0.6,3.3,22.5
19,20,De'Aaron Fox,SAC,44,33.4,23.8,9.0,17.6,50.8,1.6,4.8,33.2,4.3,5.5,78.5,0.4,3.9,4.3,6.1,0.9,0.3,2.6,23.0
